,Unnamed: 0,리뷰,grade,라벨링,predicted,score
0,0,육수와 비빔양념 너무 맛있네요~이모님들도 친절하구요~,5.0,9,9,0.8877827525138855
1,1,"스탭들 대박친절해요
매운뼈구이 강력추천
매콤하니 핵존맛탱~",5.0,9,9,0.993765115737915
2,2,좋아요,5.0,9,6,0.6236177682876587
3,3,맛있게 잘먹고 갑니다. 아기가 있어 염도조절도 물어봐주고 고맙습니다.,5.0,9,9,0.9947482943534851
4,4,귀엽다,3.0,5,5,0.5408391356468201
5,5,맛집이라 방문. 사람너무 많고 환기 안되고 큰 매장에 에어컨4개. 더워서 죽을뻔 했습니다. 생선도 싱싱하지 않고 싼 고등어 몸통. 꽁치1. 도루묵1. 오징어 몸통 반마리. 모르는 생선 조각.. 양도 너무 작았습니다. 3만원에 허접한 식사를... 유명한 이유를 모르겠습니다,1.0,1,0,0.6274548768997192
6,6,막국수보다 사이드메뉴들이 더맛잇엇어요,5.0,9,9,0.855877697467804
7,7,"정말 좋습니다 다시 가고 싶네여
(리뷰업체 쓰는것만 빼면)",5.0,9,9,0.9691891074180603
8,8,짬뽕도 맛있고 서비스로 주신 군만두도 맛있었슴니댜^_^ 당일예약도 되니 좋으네요!,4.0,7,9,0.9725343585014343
9,9,뷰맛집 / 디저트 맛집이네요. 여유롭게 잘 즐기다 갑니다 ~,5.0,9,9,0.9790089726448059
10,10,"양도 넉넉하고 특히 샐러드가 맛있었어요.
재방문하고 싶어요~~~",5.0,9,9,0.9695204496383667
11,11,인생커피 ㅋ 크림플랫,5.0,9,9,0.9902541041374207
12,12,맛있고 맛있어요,5.0,9,9,0.320308655500412
13,13,"연트럴파크 뷰맛집이에요!!!
창 너머로 뷰가 진짜 이쁘더라구여
스테이크플래터도 먹을게 다양하고 넘 잘 먹었어요",5.0,9,9,0.970966637134552
14,14,맛있어요~ 다음에 강릉 오면 또 들릴께요^^,5.0,9,9,0.6964117288589478
15,15,오늘 마라상궈 첨 먹었는데 역시 괜찮네요 마라룽샤는 말할것없이 여기 만한곳 없죠 친절하고 음식 깔끔해서 자주가는 단골입니다,5.0,9,9,0.870610237121582
16,16,동네사람으로서 치킨보다 싸고 맛있어서 자주 먹어요ㅎㅎ,5.0,9,9,0.989767849445343
17,17,뇨끼 너무 맛있어요!,4.5,8,9,0.7620729804039001
18,18,넘~^^좋아요 ~~,5.0,9,9,0.7223540544509888
19,19,만들어져 있던거 주시고 보통맛이었는데 양념이 케찹...? 같은 맛이 나용..,2.0,3,5,0.899931013584137
20,20,"굳굳
맛있고 친절해요~~^^",4.5,8,9,0.9164336919784546
21,21,분위기 좋고 맛있어요 ㅎㅎ,5.0,9,9,0.4190831482410431
22,22,"
",5.0,9,5,0.44580918550491333
23,23,오징어순대/아바이순대 맛있어요~ 속이 꽉꽉 찼네요,4.0,7,9,0.9109015464782715
24,24,늦가을 설악산행! 역시나 마무리는 일출봉 고고고!! 여태까지 먹어본 속초회 중에서 제일 맛있었고 다들 친절하시고 좋았어요~  요새 회 제철에 제발 다들 가세여.. 회 졸라 두껍고 싱싱하고 입에서 걍 녹음녹음요..😀 #일출봉횟집 #대포항맛집 #속초맛집,5.0,9,9,0.9850652813911438
