,리뷰,평점,라벨링,predicted,score
0,육수와 비빔양념 너무 맛있네요~이모님들도 친절하구요~,5.0,1,9,0.8919830322265625
1,"스탭들 대박친절해요
매운뼈구이 강력추천
매콤하니 핵존맛탱~",5.0,1,9,0.9704214334487915
2,좋아요,5.0,1,5,0.350778728723526
3,맛있게 잘먹고 갑니다. 아기가 있어 염도조절도 물어봐주고 고맙습니다.,5.0,1,9,0.9270480275154114
4,귀엽다,3.0,0,6,0.36079227924346924
5,맛집이라 방문. 사람너무 많고 환기 안되고 큰 매장에 에어컨4개. 더워서 죽을뻔 했습니다. 생선도 싱싱하지 않고 싼 고등어 몸통. 꽁치1. 도루묵1. 오징어 몸통 반마리. 모르는 생선 조각.. 양도 너무 작았습니다. 3만원에 허접한 식사를... 유명한 이유를 모르겠습니다,1.0,0,0,0.6168738603591919
6,막국수보다 사이드메뉴들이 더맛잇엇어요,5.0,1,6,0.3660494387149811
7,"정말 좋습니다 다시 가고 싶네여
(리뷰업체 쓰는것만 빼면)",5.0,1,9,0.9209201335906982
8,짬뽕도 맛있고 서비스로 주신 군만두도 맛있었슴니댜^_^ 당일예약도 되니 좋으네요!,4.0,1,9,0.728428065776825
9,뷰맛집 / 디저트 맛집이네요. 여유롭게 잘 즐기다 갑니다 ~,5.0,1,9,0.9207166433334351
10,"양도 넉넉하고 특히 샐러드가 맛있었어요.
재방문하고 싶어요~~~",5.0,1,9,0.9105135798454285
11,인생커피 ㅋ 크림플랫,5.0,1,9,0.9120609164237976
12,맛있고 맛있어요,5.0,1,9,0.4452303946018219
13,"연트럴파크 뷰맛집이에요!!!
창 너머로 뷰가 진짜 이쁘더라구여
스테이크플래터도 먹을게 다양하고 넘 잘 먹었어요",5.0,1,9,0.9546915292739868
14,맛있어요~ 다음에 강릉 오면 또 들릴께요^^,5.0,1,9,0.8542830944061279
15,오늘 마라상궈 첨 먹었는데 역시 괜찮네요 마라룽샤는 말할것없이 여기 만한곳 없죠 친절하고 음식 깔끔해서 자주가는 단골입니다,5.0,1,9,0.9692410826683044
16,동네사람으로서 치킨보다 싸고 맛있어서 자주 먹어요ㅎㅎ,5.0,1,9,0.8952335715293884
17,뇨끼 너무 맛있어요!,4.5,1,9,0.8725103735923767
18,넘~^^좋아요 ~~,5.0,1,9,0.8293951749801636
19,만들어져 있던거 주시고 보통맛이었는데 양념이 케찹...? 같은 맛이 나용..,2.0,0,5,0.5382483005523682
20,"굳굳
맛있고 친절해요~~^^",4.5,1,9,0.8586133122444153
21,분위기 좋고 맛있어요 ㅎㅎ,5.0,1,9,0.7494423985481262
22,"
",5.0,1,0,0.222866028547287
23,오징어순대/아바이순대 맛있어요~ 속이 꽉꽉 찼네요,4.0,1,9,0.745326578617096
24,늦가을 설악산행! 역시나 마무리는 일출봉 고고고!! 여태까지 먹어본 속초회 중에서 제일 맛있었고 다들 친절하시고 좋았어요~  요새 회 제철에 제발 다들 가세여.. 회 졸라 두껍고 싱싱하고 입에서 걍 녹음녹음요..😀 #일출봉횟집 #대포항맛집 #속초맛집,5.0,1,9,0.9694091081619263
25,좋아하는 까페입니다,4.5,1,9,0.5442327260971069
26,좋아요,4.5,1,5,0.350778728723526
27,음식 모두 간이 알맞고 맛있었어요.,4.0,1,9,0.8836463093757629
28,"지인소개로가본물천한우집을방문했어요~~^^
육회비빔밥 진짜!!!짱짱맛있어요~ㅋㅋ
저희아이들도불고기정말맛있어했구요~^^다먹었다는..ㅋㅋ육회비빔밥여기만큼맛있는곳없는것같아요~~^^물천한우추천드립니다^^",5.0,1,9,0.9726673364639282
29,맛있어요,5.0,1,6,0.34797805547714233
30,"생선 하나하나애 맛을 잘 살리는 숙성이 된 것 같습니다 여태껏 맛본 스시집 중 최고였습니다
특히 등푸른생선류가 많아서 좋았습니다
재방문의사100% 굿굿",5.0,1,9,0.9690471291542053
31,깔끔하고 맛있었어요,4.0,1,9,0.3909502923488617
32,맛집!!❣️,5.0,1,9,0.9687029123306274
33,"가성비 짱  
국물이 끝내줘요!",4.0,1,9,0.8123798966407776
34,깔끔하고 분워기와 음악이 마음을 안정시켜주는 최적의 장소였어요,5.0,1,9,0.8872905373573303
35,완전 밥도둑인데요! ㅎㅎ 대낮인데 먹는동안 다들 소주생각났어요 ㅠㅠㅋ,5.0,1,9,0.9728773832321167
36,좋아요,4.5,1,5,0.350778728723526
37,"외관도 너무 이쁘고  알리오 올리오도 너무 잘 먹었습니댱 ㅎㅎ
다음에 또 먹으러 갈게요٩(๑❛ᴗ❛๑)۶",5.0,1,9,0.9573079347610474
38,쫀득쫀득해요 가는길이 역에서 머네요,3.0,0,9,0.581643283367157
39,"아주 큰 갈치구이, 밑반찬 좋아요.",5.0,1,9,0.500190794467926
40,맛있어요,4.5,1,6,0.34797805547714233
41,경치도좋고 칼국수도맛있고,4.5,1,9,0.5299010276794434
42,꼬막 먹으려고 멀리서 찾아왔는데 맛있네용,5.0,1,9,0.958641767501831
43,친절하시고 재료신선해요,5.0,1,9,0.9055877923965454
44,얻어걸린 시장속 참 맛집 잡냄새가 전혀없고 매일 순대를 만드신다는 말씀처럼 깊고 깔끔한순대국 인생순대국집을 찾았습니다.,5.0,1,9,0.94166499376297
45,맛있어요,5.0,1,6,0.34797805547714233
46,커피맛있어요,4.0,1,9,0.34032008051872253
47,언제 와도 너무 좋은 일산 카페 포레스트 아웃팅스. 1시간 이용 엄수라고 대문짝만하게 여기저기 붙어있는게 좀 아쉬웠어요.,4.5,1,9,0.4149867296218872
48,"비싸고... 그냥 뷰 ,",0.5,0,3,0.21504513919353485
49,"정말 맛집이에요
속초 올때마다 가는 곳입니다",4.5,1,9,0.9731326699256897
