,리뷰,평점,라벨링,predicted,score
0,육수와 비빔양념 너무 맛있네요~이모님들도 친절하구요~,5.0,1,9,0.7342838048934937
1,"스탭들 대박친절해요
매운뼈구이 강력추천
매콤하니 핵존맛탱~",5.0,1,9,0.9669682383537292
2,좋아요,5.0,1,6,0.4311637580394745
3,맛있게 잘먹고 갑니다. 아기가 있어 염도조절도 물어봐주고 고맙습니다.,5.0,1,9,0.9689682126045227
4,귀엽다,3.0,0,5,0.3733624219894409
5,맛집이라 방문. 사람너무 많고 환기 안되고 큰 매장에 에어컨4개. 더워서 죽을뻔 했습니다. 생선도 싱싱하지 않고 싼 고등어 몸통. 꽁치1. 도루묵1. 오징어 몸통 반마리. 모르는 생선 조각.. 양도 너무 작았습니다. 3만원에 허접한 식사를... 유명한 이유를 모르겠습니다,1.0,0,0,0.7034863829612732
6,막국수보다 사이드메뉴들이 더맛잇엇어요,5.0,1,5,0.4247073829174042
7,"정말 좋습니다 다시 가고 싶네여
(리뷰업체 쓰는것만 빼면)",5.0,1,9,0.7814714312553406
8,짬뽕도 맛있고 서비스로 주신 군만두도 맛있었슴니댜^_^ 당일예약도 되니 좋으네요!,4.0,1,9,0.8580002188682556
9,뷰맛집 / 디저트 맛집이네요. 여유롭게 잘 즐기다 갑니다 ~,5.0,1,9,0.9533503651618958
10,"양도 넉넉하고 특히 샐러드가 맛있었어요.
재방문하고 싶어요~~~",5.0,1,9,0.7849498987197876
11,인생커피 ㅋ 크림플랫,5.0,1,9,0.9669833779335022
12,맛있고 맛있어요,5.0,1,9,0.6002138257026672
13,"연트럴파크 뷰맛집이에요!!!
창 너머로 뷰가 진짜 이쁘더라구여
스테이크플래터도 먹을게 다양하고 넘 잘 먹었어요",5.0,1,9,0.9152078032493591
14,맛있어요~ 다음에 강릉 오면 또 들릴께요^^,5.0,1,9,0.9162132740020752
15,오늘 마라상궈 첨 먹었는데 역시 괜찮네요 마라룽샤는 말할것없이 여기 만한곳 없죠 친절하고 음식 깔끔해서 자주가는 단골입니다,5.0,1,9,0.9869993329048157
16,동네사람으로서 치킨보다 싸고 맛있어서 자주 먹어요ㅎㅎ,5.0,1,9,0.8062629699707031
17,뇨끼 너무 맛있어요!,4.5,1,9,0.857684314250946
18,넘~^^좋아요 ~~,5.0,1,9,0.5125181674957275
19,만들어져 있던거 주시고 보통맛이었는데 양념이 케찹...? 같은 맛이 나용..,2.0,0,5,0.6067313551902771
20,"굳굳
맛있고 친절해요~~^^",4.5,1,9,0.7598533630371094
21,분위기 좋고 맛있어요 ㅎㅎ,5.0,1,9,0.7032129764556885
22,"
",5.0,1,6,0.2634727656841278
23,오징어순대/아바이순대 맛있어요~ 속이 꽉꽉 찼네요,4.0,1,7,0.40572431683540344
24,늦가을 설악산행! 역시나 마무리는 일출봉 고고고!! 여태까지 먹어본 속초회 중에서 제일 맛있었고 다들 친절하시고 좋았어요~  요새 회 제철에 제발 다들 가세여.. 회 졸라 두껍고 싱싱하고 입에서 걍 녹음녹음요..😀 #일출봉횟집 #대포항맛집 #속초맛집,5.0,1,9,0.9721806049346924
25,좋아하는 까페입니다,4.5,1,6,0.4477788209915161
26,좋아요,4.5,1,6,0.4311637580394745
27,음식 모두 간이 알맞고 맛있었어요.,4.0,1,9,0.8098136186599731
28,"지인소개로가본물천한우집을방문했어요~~^^
육회비빔밥 진짜!!!짱짱맛있어요~ㅋㅋ
저희아이들도불고기정말맛있어했구요~^^다먹었다는..ㅋㅋ육회비빔밥여기만큼맛있는곳없는것같아요~~^^물천한우추천드립니다^^",5.0,1,9,0.9929788708686829
29,맛있어요,5.0,1,6,0.43294763565063477
30,"생선 하나하나애 맛을 잘 살리는 숙성이 된 것 같습니다 여태껏 맛본 스시집 중 최고였습니다
특히 등푸른생선류가 많아서 좋았습니다
재방문의사100% 굿굿",5.0,1,9,0.937050998210907
31,깔끔하고 맛있었어요,4.0,1,9,0.3245452344417572
32,맛집!!❣️,5.0,1,9,0.8801447153091431
33,"가성비 짱  
국물이 끝내줘요!",4.0,1,9,0.8413687348365784
34,깔끔하고 분워기와 음악이 마음을 안정시켜주는 최적의 장소였어요,5.0,1,9,0.5898520350456238
35,완전 밥도둑인데요! ㅎㅎ 대낮인데 먹는동안 다들 소주생각났어요 ㅠㅠㅋ,5.0,1,9,0.9895927906036377
36,좋아요,4.5,1,6,0.4311637580394745
37,"외관도 너무 이쁘고  알리오 올리오도 너무 잘 먹었습니댱 ㅎㅎ
다음에 또 먹으러 갈게요٩(๑❛ᴗ❛๑)۶",5.0,1,9,0.971057116985321
38,쫀득쫀득해요 가는길이 역에서 머네요,3.0,0,6,0.2910938262939453
39,"아주 큰 갈치구이, 밑반찬 좋아요.",5.0,1,7,0.37865111231803894
